species_id,class_name,common_name,species,exclude_vis,exclude_messages
177,Lophophanes cristatus_Crested Tit,Crested Tit,Lophophanes cristatus,True,False
178,Loxia curvirostra_Red Crossbill,Crossbill,Loxia curvirostra,False,False
179,Lullula arborea_Wood Lark,Woodlark,Lullula arborea,False,False
180,Luscinia megarhynchos_Common Nightingale,Nightingale,Luscinia megarhynchos,False,False
181,Luscinia svecica_Bluethroat,Bluethroat,Luscinia svecica,False,False
182,Lymnocryptes minimus_Jack Snipe,Jack Snipe,Lymnocryptes minimus,False,False
183,Lyrurus tetrix_Black Grouse,Black Grouse,Lyrurus tetrix,False,False
184,Mareca penelope_Eurasian Wigeon,Wigeon,Mareca penelope,False,False
185,Mareca strepera_Gadwall,Gadwall,Mareca strepera,False,False
186,Melanitta fusca_Velvet Scoter,Velvet Scoter,Melanitta fusca,False,False
187,Melanitta nigra_Common Scoter,Common Scoter,Melanitta nigra,False,False
188,Mergellus albellus_Smew,Smew,Mergellus albellus,False,False
189,Mergus merganser_Common Merganser,Goosander,Mergus merganser,True,False
190,Mergus serrator_Red-breasted Merganser,Red-breasted Merganser,Mergus serrator,True,False
191,Milvus migrans_Black Kite,Black Kite,Milvus migrans,False,False
192,Milvus milvus_Red Kite,Red Kite,Milvus milvus,False,False
193,Monticola saxatilis_Rufous-tailed Rock-Thrush,Rock Thrush,Monticola saxatilis,False,False
194,Morus bassanus_Northern Gannet,Gannet,Morus bassanus,True,False
195,Motacilla alba_White Wagtail,Pied Wagtail,Motacilla alba,False,False
196,Motacilla cinerea_Gray Wagtail,Grey Wagtail,Motacilla cinerea,False,False
197,Motacilla flava_Western Yellow Wagtail,Yellow Wagtail,Motacilla flava,True,False
198,Muscicapa striata_Spotted Flycatcher,Spotted Flycatcher,Muscicapa striata,True,False
199,Netta rufina_Red-crested Pochard,Red-crested Pochard,Netta rufina,False,False
200,Noise_Noise,Noise,Noise,True,True
201,Numenius arquata_Eurasian Curlew,Curlew,Numenius arquata,True,False
202,Numenius phaeopus_Whimbrel,Whimbrel,Numenius phaeopus,False,False
203,Nycticorax nycticorax_Black-crowned Night-Heron,Night-heron,Nycticorax nycticorax,False,False
204,Oenanthe oenanthe_Northern Wheatear,Wheatear,Oenanthe oenanthe,False,False
205,Oriolus oriolus_Eurasian Golden Oriole,Golden Oriole,Oriolus oriolus,False,False
206,Otus scops_Eurasian Scops-Owl,Scops Owl,Otus scops,False,False
207,Oxyura jamaicensis_Ruddy Duck,Ruddy Duck,Oxyura jamaicensis,False,False
208,Pandion haliaetus_Osprey,Osprey,Pandion haliaetus,False,False
209,Panurus biarmicus_Bearded Reedling,Bearded Tit,Panurus biarmicus,False,False
210,Parus major_Great Tit,Great Tit,Parus major,False,False
211,Passer domesticus_House Sparrow,House Sparrow,Passer domesticus,False,False
212,Passer montanus_Eurasian Tree Sparrow,Tree Sparrow,Passer montanus,True,False
213,Perdix perdix_Gray Partridge,Grey Partridge,Perdix perdix,False,False
214,Periparus ater_Coal Tit,Coal Tit,Periparus ater,False,False
215,Pernis apivorus_European Honey-buzzard,Honey-buzzard,Pernis apivorus,False,False
216,Phalacrocorax carbo_Great Cormorant,Cormorant,Phalacrocorax carbo,False,False
217,Phalaropus fulicarius_Red Phalarope,Grey Phalarope,Phalaropus fulicarius,False,False
218,Phasianus colchicus_Ring-necked Pheasant,Pheasant,Phasianus colchicus,False,False
219,Phoenicurus ochruros_Black Redstart,Black Redstart,Phoenicurus ochruros,True,False
220,Phoenicurus phoenicurus_Common Redstart,Redstart,Phoenicurus phoenicurus,False,False
